author,authorLink,content,forward,forward,comments,fabulous,time,source
丽江同城网,https://weibo.com/2370746434?refer_flag=1001030103_,#丽江全力抗击疫情# 【探访丽江“战役”最前线，走进丽江市医院祥和分院隔离病区】祥和分院感染科作为此前收治我市6名新冠肺炎患者的“神秘”隔离区，从大年三十开始，市医院的白衣天使们就坚守在此与病魔做争斗。这里又是什么样子呢？同城君带你一探究竟。 O探访丽江“战役”最前线，走进丽江市医院祥和分院隔离病区,,,,,17秒前,微博 weibo.com
中国日报,https://weibo.com/1663072851?refer_flag=1001030103_,#抗疫在一线#【#伊朗小哥坚守武汉#，为医护人员送温暖】在武汉的Wakanda咖啡馆，来自伊朗的咖啡师西纳•卡拉米成为疫情中的坚守者。咖啡馆附近有几家收治新冠肺炎患者的医院，咖啡馆每天给医院免费送咖啡，为战斗在一线的医务人员提供后勤支持。小哥说：“我爱这个城市、这些人。在一切正常的日子中，他们一直对我非常好。现在，他们面临困难了，我也不会抛下他们。” L中报视频的秒拍视频 , 10, 10, 15,99,20秒前 转赞人数超过90,微博 weibo.com
龙警微博,https://weibo.com/2729830305?refer_flag=1001030103_,#疫情当前警察不退# 【民警提到牺牲战友哽咽：我们不怕辛苦，唯一希望是群众能理解】#抗疫一线群英谱# 20日，宜昌长阳民警邓长霖在说起全国各地有一些民警与辅警牺牲时，一时难以平复心情，带着哭腔表示，他们不怕“超长待机”，也能忍受站一天的腿脚肿胀，“在这场战疫中，我们没有一个人后退，唯一的希望大家都能理解我们，配合我们的工作。” @平安湖北 L警民携手同行的微博视频 ,,,,,18秒前,OnePlus 7 Pro
文明南宁,https://weibo.com/2385997727?refer_flag=1001030103_,【南宁：文艺工作者慰问市四医院一线医护人员】“把手交给手，一起越过恐惧的障碍；将心温暖心，一起驱散病毒的阴霾……”2月24日，以抗击疫情为主题的公益歌曲《火神颂》，在南宁市第四人民医院“为生命站岗”石碑广场前响起，文艺工作者用自己的方式向一线医护人员送去了最真挚的问候。O南宁：文艺工作者慰问市四医院一线医护人员 ,,,,,19秒前,搜狗高速浏览器
思想聚焦,https://weibo.com/1742566624?refer_flag=1001030103_,#在家努力学习的乡村孩子#看不出牌子的电视机和手机当课堂，空旷的院子当教室，几条简易凳子当书桌，今天被网上几张乡村孩子努力学习的照片感动到泪目。整个春节以来，全国人民的心情都因为疫情笼罩上一层阴云，但尽管如此，还是有很多人逆着困境努力生活，照片中的乡村孩子就是这样。“千磨万击还坚韧”，说的就是他们吧！ , 11, 11, 12,88,20秒前 转赞人数超过80,微博 weibo.com
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6880,今天08:54,微博 weibo.com
微博媒体,https://weibo.com/5361563575?refer_flag=1001030103_,#等到能摘下口罩那一天#【战“疫”夫妻：万般思念一“线”牵】#天下英雄城南昌# 占雪琴是南昌市第三医院的一名工作人员，疫情期间，她每天都要对进入医院的病人及家属进行体温检查和信息排查，严格把好医院的“第一道防线”。而占雪琴的丈夫吴晓昇，早已作为南昌市第三医院第五批援助湖北医疗队队员奔赴武汉战“疫”一线。闲暇之余，他们只能通过视频聊天的方式聊上几句。 L南昌广播电视台的微博视频 ,,,,1,5分钟前,iPhone客户端
南皮法院,https://weibo.com/3549332334?refer_flag=1001030103_,#冀法战疫# 南皮法院院长庞爱民督查疫情防控工作并慰问一线防控干警连日来，南皮法院院长庞爱民多次到包联小区法院家属楼和南街居民区共四个卡点督查疫情防控工作并慰问一线防控干警。庞院长详细了解人员力量调配、应急值守、疫情排查、管控措施落实等有关情况，强调要把人民群众生命安全和身体健康放在首位，把疫情防控工作作为当前最重要的工作来抓。针对小区出口没有安全门带来的管控困难，庞院长亲自部署为其安装两个简易门，提高了小区的安全性。同时对疫情防控一线工作人员坚守岗位、勤奋敬业的工作表示肯定，叮嘱他们在做好各项防疫工作的同时确保个人防护安全，希望他们发扬不怕疲劳、连续作战的优良作风，共同努力严防死守，筑牢疫情防线。庞爱民要求，要提高政治站位，把疫情防控作为当前最重要的工作来抓；要突出工作重点，构建防范疫情扩散的阻击线；要强化队伍建设，合理安排警力，保障好防控疫情第一线的民警的食宿和防护装备。 ,,,,,-9秒前,专业版微博
石狮日报,https://weibo.com/2282066074?refer_flag=1001030103_,#石狮日报即时新闻# 【永宁镇山边村多措并举“外防输入”】“您好，我是山边村疫情防控网格员，请配合做好登记和体温测量工作。”在永宁镇山边村一出租私房内，石狮市下派驻村干部张良才和村委会网格人员正在给两户刚从安徽省安庆和亳州返工的外来务工人员做登记并进行测量体温。他们一行8个人，是凌晨刚抵达山边村的。清晨一大早，一接到出租房东的报告，村委会网格团队便急忙忙赶到现场。疫情防控启动以来，特别是党员“1+N”村村设卡防控劝导站取消运作以来，山边村按照撤卡不撤防的思路，加大“五个起来”防疫宣传和网格化摸排力度，充分发挥党的群众工作优势，紧紧依靠人民群众织密疫情防控网，做好“外方输入”工作。不少出租私房房东、租户和村民积极主动向村委会报告情况。截止目前，各项疫情防控工作开展顺利，辖区内秩序良好，未发现任何疫情隐患。(石狮日报记者 许小雄) ,,,,,-8秒前,微博 weibo.com
有一只小黄瓜,https://weibo.com/1986969873?refer_flag=1001030103_,突然想到一个问题，疫情过去后我可能要花好长一段时间适应到处都是人的生活，现在已经有了人群恐惧症，公共交通工具恐惧症，，，我宁可骑车一个半小时去点位也不坐半个小时就能到的地铁,,,,,-8秒前,小米6 拍人更美
西部决策,https://weibo.com/1970832281?refer_flag=1001030103_,【#确诊120例葛洲坝片区的24小时#：243个小区“隔离再隔离”】葛洲坝片区是湖北宜昌疫情主战场，因很多居民常往返武汉，这里确诊120多病例。2月2日至今，这里的243个小区“隔离再隔离”，800位坚守者负重前行，上演“坚守战”。独居老人、外国居民、小学生...各种难题亟待破解。#新型肺炎抗疫全记录#@一手Video L一手video的秒拍视频 ,,,,,-7秒前,小米CC9
看看新闻KNEWS,https://weibo.com/1845864154?refer_flag=1001030103_,【北海道一中学教师确诊感染接触过205名学生 #日本多处出现不明途径群发性感染# 】据报道，日本北海道江别市政府25日表示，该市一名50多岁的中学男教师，于24日被确诊感染新冠肺炎。该老师发病后共给205名学生上过课。为抑制疫情扩散，该市政府决定从25日起至下月6日，暂时让患者所在中学停课。25日，日本首相安倍晋三表示，日本部分地区已经出现了感染途径不明的群发性新冠肺炎感染。安倍提出了应对新冠疫情扩散的相应措施：“各公司和各组织若出现有发烧等感冒症状的员工，应建议他们请假，并大力敦促大家居家远程办公。”包括“钻石公主”号邮轮确诊病例在内，目前日本国内的新冠肺炎感染者已增至850人。L全球眼News的秒拍视频 , 5, 5, 15,33,-8秒 转赞人数超过30,微博 weibo.com
正蓝旗警民之声,https://weibo.com/2120843605?refer_flag=1001030103_,我们的责任与担当——记桑根达来派出所全力开展疫情防控阻击战正蓝旗公安局桑根达来派出所在抗击“新冠肺炎”疫情的战场上，全所民警和辅警用自己坚定的信念和对人民群众的满腔热情谱写着无悔的诗篇。在过去的二十多个日日夜夜里，在当地党委、政府和旗公安局党委的坚强领导下，派出所同辖区人民正在紧张地开展一场没有硝烟的“抗疫” 阻击战，用自己辛勤的汗水、顽强的意志、坚定的信念打赢这场“抗疫” 阻击战。——非常时期忠诚、担当由于此次“新冠肺炎”疫情的发生正值春节期间，为了控制疫情的蔓延和传播，按照上级部门统一部署，派出所迅速作出反应，第一时间成立了防控“新冠肺炎”疫情工作专班，研究制定辖区具体工作措施。同时，召开专题会议，对疫情防护工作进行动员部署，要求全所上下切实提高政治思想认识，充分发扬特别能吃苦、特别能战斗的精神，把抗击疫情作为当前的最重要的政治任务来抓，把人民群众的生命安全和身体健康放在第一位，做到“疫情在前、警察不退”，坚决打赢这场疫情防控阻击战，向党和人民交上一份完美的答卷。——与外地入镇人员零距离接触为切实做好新型病毒疫情防护工作，派出所以207国道桑根达来镇北口检查点为依托，实行24小时勤务制度，对所有的进城车辆逢车必查，确保不漏一车，不漏一人，及时发现和排查疫情安全隐患，切实织起了一张防控隔离大网。自2月1日起，派出所积极参加镇直机关组织的“街面”疫情防控检查点执勤，对进街的外地车辆实行“不停留、不下车、不入店”疏导管理，避免与当地群众接触，严防感染病毒入侵我镇。疫情防控工作持续开展，桑根达来派出所民（辅）警深入各嘎查，向群众宣传和推广使用“二维码”，对所有进出人员进行登记，在各嘎查民警现场指导填写相关信息，教育并引导辖区群众科学认识疫情，正确掌握防控知识，最大限度争取广大群众的理解和支持。通过扫码登记身份信息、健康等状况等，避免交叉感染，形成了抗疫情人人参与的良好局面。截至目前，在检查工作中尚未发现有发热患者和疑似病例，但广大执勤民警在专用防护装备尚不完备的情况下，每天都要与外省进镇人员面对面直接对话接触，时刻都存在着被传染的风险。但他们把自己的健康甚至生命安全置之度外，兢兢业业的做好各项工作，竭尽全力守好入城关卡，把疫情拒之门外。——班子战斗堡垒坚强有力派出所领导班子成员充分发挥战斗堡垒作用，始终走在队伍前列，深入一线、靠前指挥，与一线民警并肩战斗。派出所带班领导每天轮流深入执勤检查点坐镇一线执勤。在领导的带动下，广大党员民警主动作为、坚守岗位，充分发扬了不怕疲劳、连续作战的作风。期间，由于表现突出，派出所1名辅受到局党委嘉奖一次。为确保执勤民警的健康安全，派出所领导千方百计争取口罩、手套、防护服、消毒液等安全防护装备和用品，为奋战在一线的民警提供坚实的保障，全力做好民警的安全防护工作。由于防护措施得当，目前全所民警、辅警没有一例受到“新冠肺炎”感染，全体人员经受住了严峻形式下精神上和思想上的考验。目前，这场疫情防控阻击战仍在进行中。但派出所全体民警、辅警毫不气馁、毫不松懈，始终坚守着自己的岗位，“舍小家顾大家”，用信念书写着自己的忠诚，用行动践行着警察的誓言。 ,,,,,-7秒前,360安全浏览器
南宁经开区,https://weibo.com/2655984557?refer_flag=1001030103_,#战胜疫情南宁在行动# #抗击疫情 南宁在行动# 【务实帮扶稳经济 返岗复工信心足 南宁市约75%的规上工业企业复工复产】生产一线也是战“疫”前线，生产车间也是疫情防控的“战场”。南宁市委、市政府高度重视、认真贯彻落实中央和自治区部署，毫不放松抓好疫情防控和复工复产各项工作 ...,,,,,-6秒前,360安全浏览器
芜湖月老,https://weibo.com/5579099589?refer_flag=1001030103_,芜湖#直击芜湖抗击新冠肺炎# 【安徽一级响应调整为二级】安徽自2020年2月25日12时起，将新冠肺炎疫情防控应急响应级别由省重大突发公共卫生事件一级响应调整为省级二级响应。 #芜湖身边事#,,,,,-6秒前,芜湖超话
那个不一样的他,https://weibo.com/1973352294?refer_flag=1001030103_,准备24岁，创业两年多，想法真的有很多，心里也多了一份责任感，公司能不能够长久发展，比如这次遇到了疫情，工厂和物流都延时交货和发货，大大减缓了公司的整体效率，在19年的时候我计划了很多项目，整体布局减慢了一个月，希望这个阶段能够快点渡过。ps:看到身边的电商同行都在扩大发展，总是很激励我一起加油吖 ,,,,,-5秒前,iPhone客户端
江西百科,https://weibo.com/1836672812?refer_flag=1001030103_,#南昌身边事#【南昌战“疫”夫妻：万般思念一“线”牵】占雪琴是南昌市第三医院的一名工作人员，疫情期间，她每天都要对进入医院的病人及家属进行体温检查和信息排查，严格把好医院的“第一道防线”。而占雪琴的丈夫吴晓昇，早已作为南昌市第三医院第五批援助湖北医疗队队员奔赴武汉战“疫”一线。闲暇之余，他们只能通过视频聊天的方式聊上几句。L南昌广播电视台的微博视频 ,,,,,-4秒前,搜狗高速浏览器
小末在认真记录,https://weibo.com/5606879579?refer_flag=1001030103_,收到一条求助信息大家路过的话，还麻烦大家能点开看看哦具体的内容，前三张图片已经很详细了就是求助者小姨的果园因为受疫情的影响，积压了几百万斤的果实。如果大家有需要的话，可以联系@躺躺1996 这个小姐妹了解具体的情况～不过我没有买过她家小姨的水果，不知道产品的具体情况，无法保证品质问题。所以把小姐妹单独发我的图也发给大家看一下～真的希望疫情能赶紧过去🙏🙏🙏也希望大家能够注意安全，继续保持警惕，做好防护措施 ,,,,,-4秒前,
北京回龙观医院,https://weibo.com/2656431445?refer_flag=1001030103_,疫情期间如何缓解焦虑情绪？试试这项运动！——北京回龙观医院闫少校医生@首都健康 @北京12320在聆听 L北京回龙观医院的微博视频,,,,,-4秒前,专业版微博
永仁警方,https://weibo.com/2394965174?refer_flag=1001030103_,#治庸·战“疫”# 【深入一线摸实情 靶向施策助防控】2月23日，楚雄州人民政府副秘书长严涛聪、州交通运输局局长余海潮、州公安局副局长谢绍光、州公安局交警支队支队长闫文、州疾控中心郭兴祥一行到永仁公安检查站疫情检测点检查指导新冠肺炎疫情防控工作，永仁县人民政府副县长罗德宝、杜继勇及县级相关部门负责人参与检查。现场指导结束后，在永仁县公安局内召开了疫情防控现场调度。O【治庸·战“疫”】深入一线摸实情 靶向施策助防控 ,,,,,-4秒前,360安全浏览器
我爱融安,https://weibo.com/3561652195?refer_flag=1001030103_,#疫情防控# #脱贫攻坚# 2月25日，#柳州# 市委副书记梁旭辉，柳州市人大常委会副主任、融安县委书记陈宏到#融安# 县大良镇古兰村，围绕扶贫产业、乡村振兴、乡村旅游等内容开展调研。,,,,,-3秒前,专业版微博
平安汕头,https://weibo.com/1736153444?refer_flag=1001030103_,#关注新冠肺炎# 【疫情期间养老保险怎么缴】非常时期，养老金能按时发放吗？到了退休年龄，不能及时去办退休手续怎么办？养老保险能否延迟缴纳？疫情期间养老保险答疑，戳图↓↓为爸妈，转存！,,,,,-3秒前,iPhone客户端
解放外宣,https://weibo.com/5508648336?refer_flag=1001030103_,河南省人力资源和社会保障厅致全省外出务工农民工兄弟的一封信广大农民工兄弟：在应对新冠肺炎疫情防控的特殊时期，中央和省委省政府高度重视、十分关心广大农民工春节后外出务工和复工复岗工作。为确保农民工兄弟能够有序外出、平安返岗，省人力资源社会保障厅特向全省农民工兄弟致信提示如下：一、您有明确外出务工地的，请扫描“外出务工人员电子证明”二维码，如实填写个人基本信息、出发地、务工地、出行时间等，即获取全省统一的外出务工人员电子证明，还能预约政府组织的专车专列集体出行。二、您尚不了解务工地开复工时间的，请登陆河南省人力资源和社会保障厅官网（O网页链接），及时获取各地的复工复产时间、健康要求、交通保障、疫情防控形势等信息，做到有计划外出。三、您暂时未找到合适岗位的，请登陆河南省人力资源和社会保障厅官网（O网页链接），打开“就业服务不打烊、网上招聘不停歇”栏目，查看随时更新的全省各地的线上招聘信息，寻找适合自己的岗位再安排外出。四、您近期不外出务工但有参加技能培训意愿的，请您登陆河南终身职业培训服务平台（O网页链接），参加人力资源管理师、中式烹调师、电工、汽车维修工等专业初、中、高级职业技能培训，网上培训可累积积分、可领取培训补贴。五、您若是一时无法外出务工的贫困家庭劳动力，可选择就地就近就业，也可及时联系当地人力资源社会保障部门，为您安排公益性岗位就业。全省农民工兄弟，幸福是奋斗出来的！您能安全返岗、安心就业是我们最大的心愿！衷心祝全省农民工兄弟都能找到一份适合自己的满意的工作！河南省人力资源和社会保障厅2020年2月 ,,,,,-2秒前,搜狗高速浏览器
今日鸠江,https://weibo.com/3778682163?refer_flag=1001030103_,【护送新生患儿转院 安徽高速上演生命接力】2月24日下午，武汉市一名出生仅30天的婴儿因病需紧急转院至南京治疗。但由于当前正值疫情防控的关键时期，各地管控措施严格。危急关头，安徽高速公路路政支队立即联系六武、合六叶、合宁路政大队调派车辆和人员接续护送，并联系江苏高速交警部门进行协助，上演了一场感人的“生命接力”。O护送新生患儿转院 安徽高速上演生命接力 ,,,,,-2秒前,360安全浏览器
吻过你,https://weibo.com/5203874346?refer_flag=1001030103_,【#上海首例危重症患者出院#：武汉返回后 确诊后不到3天就陷入昏迷】2月25日，上海又有7例新冠肺炎患者治愈出院，其中包括69岁的危重症患者杨先生。杨先生曾在元旦前回武汉买年货，1月9日回到上海后就开始发热、咳嗽，1月18日被确诊。医生介绍，他的病情比较复杂，合并存在细菌和新冠病毒的感染。#聚焦新冠肺炎疫情# L新京报我们视频的秒拍视频 ,,,,,0秒前,
超芝士少女,https://weibo.com/1323394015?refer_flag=1001030103_,我的集美每天给我发消息，强制灌输韩国疫情新闻，比央视记者还勤快。,,,,,-1秒前,iPhone客户端
日月警示良言,https://weibo.com/3138941747?refer_flag=1001030103_,本港疫情又有黃屎打驻港部队军营主意 L日月警示良言的微博视频,,,,,0秒前,
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6880,今天08:54,微博 weibo.com
泗县发布,https://weibo.com/1116846745?refer_flag=1001030103_,【“云复工”、新起点、“绣花功”——安徽念好“复产经”】记者近日走访安徽省战略性新兴产业获悉，为了统筹好防疫和生产，企业“八仙过海、各显神通”，有的公司“云复工”员工在家办公；有的公司危中寻机，业务发展迎来新起点；政府部门以“绣花功”精准解决企业困难，共抗疫情、渡难关。O网页链接 ,,,,,2秒前,360安全浏览器
环球网,https://weibo.com/1686546714?refer_flag=1001030103_,【发改委司长：“有人日常居家也戴N95，4小时换1个口罩，这太土豪了，完全没必要”】国务院联防联控机制25日15时召开新闻发布会，介绍科学防治精准施策分区分级做好疫情防控工作情况。国家发展改革委社会司司长欧晓理在发布会上表示，不但要加大口罩供应，也要提倡口罩科学的按需使用。这次疫情对口罩的需求呈爆发式增长，必然造成供需双方不对等，现在马上要达到口罩要多少有多少的状况是不现实的，所以科学按需使用口罩、减少不必要的浪费，在当前很有必要。“有人日常居家的时候也戴着N95，有的人一天接触不到一两个人，也四个小时换一个口罩，我们觉得这太土豪了，完全没有必要。在此我们呼吁每个人在科学做好自身防护的同时，都要肩负起科学节约使用口罩的责任。”O发改委司长：“有人日常居家也戴N95，4小时换1个口罩，这太土豪了，完全没必要” ,,,,,2秒前,
Darren达布希勒图,https://weibo.com/5112621754?refer_flag=1001030103_,非疫情地区求生记,,, 3,10,2秒 转赞人数超过10,iPhone 11 Pro Max
龙南发布,https://weibo.com/3912707918?refer_flag=1001030103_,3秒前  来自 HUAWEI P20,,,,,3秒前,HUAWEI P20
摆论古今,https://weibo.com/3900233247?refer_flag=1001030103_,回复@新乡乐胜:大城市殡仪馆本身每天就很多故去的，这次疫情固然也导致了增加，但她这个描述本身就充满着难圆其说的矛盾。比如，病人手机属于贵重物品，医院不怕家属索要遗物？病人故去前还知道把手机都装走？到殡仪馆火化前没家属在场敢火化？火化前殡仪馆敢掏遗体衣服口袋搜身？,,,,,3秒前,HUAWEI P30 Pro
大咧巴-Nico,https://weibo.com/1581079620?refer_flag=1001030103_,『nic๛.✨ 疫情什么时候能结束呀？❌👾我要吃烤串，🍡🍢我要吃火锅，🍲🍺我要吃日料！🍱🍣还要等多久呀！！！ 2沈阳·西塔小区,,,,,3秒前,海信智能手机
思想聚焦,https://weibo.com/1742566624?refer_flag=1001030103_,#在家努力学习的乡村孩子#看不出牌子的电视机和手机当课堂，空旷的院子当教室，几条简易凳子当书桌，今天被网上几张乡村孩子努力学习的照片感动到泪目。整个春节以来，全国人民的心情都因为疫情笼罩上一层阴云，但尽管如此，还是有很多人逆着困境努力生活，照片中的乡村孩子就是这样。“千磨万击还坚韧”，说的就是他们吧！ , 11, 11, 12,90,3秒 转赞人数超过100,微博 weibo.com
南皮法院,https://weibo.com/3549332334?refer_flag=1001030103_,#冀法战疫# 南皮法院院长庞爱民督查疫情防控工作并慰问一线防控干警连日来，南皮法院院长庞爱民多次到包联小区法院家属楼和南街居民区共四个卡点督查疫情防控工作并慰问一线防控干警。庞院长详细了解人员力量调配、应急值守、疫情排查、管控措施落实等有关情况，强调要把人民群众生命安全和身体健康放在首位，把疫情防控工作作为当前最重要的工作来抓。针对小区出口没有安全门带来的管控困难，庞院长亲自部署为其安装两个简易门，提高了小区的安全性。同时对疫情防控一线工作人员坚守岗位、勤奋敬业的工作表示肯定，叮嘱他们在做好各项防疫工作的同时确保个人防护安全，希望他们发扬不怕疲劳、连续作战的优良作风，共同努力严防死守，筑牢疫情防线。庞爱民要求，要提高政治站位，把疫情防控作为当前最重要的工作来抓；要突出工作重点，构建防范疫情扩散的阻击线；要强化队伍建设，合理安排警力，保障好防控疫情第一线的民警的食宿和防护装备。 ,,,,,5秒前,专业版微博
石狮日报,https://weibo.com/2282066074?refer_flag=1001030103_,#石狮日报即时新闻# 【永宁镇山边村多措并举“外防输入”】“您好，我是山边村疫情防控网格员，请配合做好登记和体温测量工作。”在永宁镇山边村一出租私房内，石狮市下派驻村干部张良才和村委会网格人员正在给两户刚从安徽省安庆和亳州返工的外来务工人员做登记并进行测量体温。他们一行8个人，是凌晨刚抵达山边村的。清晨一大早，一接到出租房东的报告，村委会网格团队便急忙忙赶到现场。疫情防控启动以来，特别是党员“1+N”村村设卡防控劝导站取消运作以来，山边村按照撤卡不撤防的思路，加大“五个起来”防疫宣传和网格化摸排力度，充分发挥党的群众工作优势，紧紧依靠人民群众织密疫情防控网，做好“外方输入”工作。不少出租私房房东、租户和村民积极主动向村委会报告情况。截止目前，各项疫情防控工作开展顺利，辖区内秩序良好，未发现任何疫情隐患。(石狮日报记者 许小雄) ,,,,,6秒前,微博 weibo.com
有一只小黄瓜,https://weibo.com/1986969873?refer_flag=1001030103_,突然想到一个问题，疫情过去后我可能要花好长一段时间适应到处都是人的生活，现在已经有了人群恐惧症，公共交通工具恐惧症，，，我宁可骑车一个半小时去点位也不坐半个小时就能到的地铁,,,,,6秒前,小米6 拍人更美
西部决策,https://weibo.com/1970832281?refer_flag=1001030103_,【#确诊120例葛洲坝片区的24小时#：243个小区“隔离再隔离”】葛洲坝片区是湖北宜昌疫情主战场，因很多居民常往返武汉，这里确诊120多病例。2月2日至今，这里的243个小区“隔离再隔离”，800位坚守者负重前行，上演“坚守战”。独居老人、外国居民、小学生...各种难题亟待破解。#新型肺炎抗疫全记录#@一手Video L一手video的秒拍视频 ,,,,,7秒前,小米CC9
看看新闻KNEWS,https://weibo.com/1845864154?refer_flag=1001030103_,【北海道一中学教师确诊感染接触过205名学生 #日本多处出现不明途径群发性感染# 】据报道，日本北海道江别市政府25日表示，该市一名50多岁的中学男教师，于24日被确诊感染新冠肺炎。该老师发病后共给205名学生上过课。为抑制疫情扩散，该市政府决定从25日起至下月6日，暂时让患者所在中学停课。25日，日本首相安倍晋三表示，日本部分地区已经出现了感染途径不明的群发性新冠肺炎感染。安倍提出了应对新冠疫情扩散的相应措施：“各公司和各组织若出现有发烧等感冒症状的员工，应建议他们请假，并大力敦促大家居家远程办公。”包括“钻石公主”号邮轮确诊病例在内，目前日本国内的新冠肺炎感染者已增至850人。L全球眼News的秒拍视频 , 5, 5, 15,33,6秒 转赞人数超过30,微博 weibo.com
正蓝旗警民之声,https://weibo.com/2120843605?refer_flag=1001030103_,我们的责任与担当——记桑根达来派出所全力开展疫情防控阻击战正蓝旗公安局桑根达来派出所在抗击“新冠肺炎”疫情的战场上，全所民警和辅警用自己坚定的信念和对人民群众的满腔热情谱写着无悔的诗篇。在过去的二十多个日日夜夜里，在当地党委、政府和旗公安局党委的坚强领导下，派出所同辖区人民正在紧张地开展一场没有硝烟的“抗疫” 阻击战，用自己辛勤的汗水、顽强的意志、坚定的信念打赢这场“抗疫” 阻击战。——非常时期忠诚、担当由于此次“新冠肺炎”疫情的发生正值春节期间，为了控制疫情的蔓延和传播，按照上级部门统一部署，派出所迅速作出反应，第一时间成立了防控“新冠肺炎”疫情工作专班，研究制定辖区具体工作措施。同时，召开专题会议，对疫情防护工作进行动员部署，要求全所上下切实提高政治思想认识，充分发扬特别能吃苦、特别能战斗的精神，把抗击疫情作为当前的最重要的政治任务来抓，把人民群众的生命安全和身体健康放在第一位，做到“疫情在前、警察不退”，坚决打赢这场疫情防控阻击战，向党和人民交上一份完美的答卷。——与外地入镇人员零距离接触为切实做好新型病毒疫情防护工作，派出所以207国道桑根达来镇北口检查点为依托，实行24小时勤务制度，对所有的进城车辆逢车必查，确保不漏一车，不漏一人，及时发现和排查疫情安全隐患，切实织起了一张防控隔离大网。自2月1日起，派出所积极参加镇直机关组织的“街面”疫情防控检查点执勤，对进街的外地车辆实行“不停留、不下车、不入店”疏导管理，避免与当地群众接触，严防感染病毒入侵我镇。疫情防控工作持续开展，桑根达来派出所民（辅）警深入各嘎查，向群众宣传和推广使用“二维码”，对所有进出人员进行登记，在各嘎查民警现场指导填写相关信息，教育并引导辖区群众科学认识疫情，正确掌握防控知识，最大限度争取广大群众的理解和支持。通过扫码登记身份信息、健康等状况等，避免交叉感染，形成了抗疫情人人参与的良好局面。截至目前，在检查工作中尚未发现有发热患者和疑似病例，但广大执勤民警在专用防护装备尚不完备的情况下，每天都要与外省进镇人员面对面直接对话接触，时刻都存在着被传染的风险。但他们把自己的健康甚至生命安全置之度外，兢兢业业的做好各项工作，竭尽全力守好入城关卡，把疫情拒之门外。——班子战斗堡垒坚强有力派出所领导班子成员充分发挥战斗堡垒作用，始终走在队伍前列，深入一线、靠前指挥，与一线民警并肩战斗。派出所带班领导每天轮流深入执勤检查点坐镇一线执勤。在领导的带动下，广大党员民警主动作为、坚守岗位，充分发扬了不怕疲劳、连续作战的作风。期间，由于表现突出，派出所1名辅受到局党委嘉奖一次。为确保执勤民警的健康安全，派出所领导千方百计争取口罩、手套、防护服、消毒液等安全防护装备和用品，为奋战在一线的民警提供坚实的保障，全力做好民警的安全防护工作。由于防护措施得当，目前全所民警、辅警没有一例受到“新冠肺炎”感染，全体人员经受住了严峻形式下精神上和思想上的考验。目前，这场疫情防控阻击战仍在进行中。但派出所全体民警、辅警毫不气馁、毫不松懈，始终坚守着自己的岗位，“舍小家顾大家”，用信念书写着自己的忠诚，用行动践行着警察的誓言。 ,,,,,7秒前,360安全浏览器
